distance,distance,brake_pressure,,speed
45,45,9.333333333,,70
46,46,9.330555556,,70
47,47,9.322875817,,70
48,48,9.311111111,,70
49,49,9.295906433,,70
50,50,9.277777778,,70
51,51,8.022672065,,70
52,52,7.198765432,,70
53,53,6.596766426,,70
54,54,6.120454545,,70
55,55,5.718518519,,70
56,56,5.360090703,,70
57,57,5.024317618,,70
58,58,4.695206972,,70
59,59,4.358613159,,70
60,60,4,,70
61,61,4,,70
62,62,4,,70
63,63,4,,70
64,64,4,,70
65,65,4,,70
66,66,3.90687968,,70
67,67,3.820564236,,70
68,68,3.738240535,,70
69,69,3.657485889,,70
70,70,3.576024512,,70
71,71,3.491513826,,70
72,72,3.401317234,,70
73,73,3.30479481,,70
74,74,3.198267626,,70
75,75,3.072829132,,70
76,76,2.920674375,,70
77,77,2.745609459,,70
78,78,2.541870473,,70
79,79,2.298589611,,70
80,80,2,,70