distance,speed,brake_pressure
9,40,9.240229885
14,50,9.141176471
20,60,9.222222222
27,70,9.322875817
36,80,9.183333333
45,90,9.222222222
56,100,9.183333333
67,110,9.070589488
distance,speed,brake_pressure
18,40,4.546801773
28,50,9.311111111
40,60,9.222222222
54,70,6.120454545
72,80,4.83725141
90,90,8
112,100,8
134,110,8
distance,speed,brake_pressure
27,40,4
42,50,4
60,60,4
81,70,2
108,80,4.210526316
135,90,8
168,100,8
201,110,8
distance,speed,brake_pressure
36,40,2.818376068
56,50,2.818376068
80,60,2
108,70,2
144,80,4.210526316
180,90,8
224,100,8
268,110,8